Comunidades Autónomas;Año;Constituciones
07 Castilla y León;2017;2857
07 Castilla y León;2016;3014
07 Castilla y León;2015;2847
07 Castilla y León;2014;3000
07 Castilla y León;2013;3168
07 Castilla y León;2012;2817
08 Castilla - La Mancha;2022;2796
08 Castilla - La Mancha;2021;2940
08 Castilla - La Mancha;2020;2232
08 Castilla - La Mancha;2019;2739
08 Castilla - La Mancha;2018;2836
08 Castilla - La Mancha;2017;2618
08 Castilla - La Mancha;2016;2976
08 Castilla - La Mancha;2015;2732
08 Castilla - La Mancha;2014;2812
08 Castilla - La Mancha;2013;3121
08 Castilla - La Mancha;2012;2863
09 Cataluña;2022;18983
09 Cataluña;2021;19191
09 Cataluña;2020;15023
09 Cataluña;2019;18139
09 Cataluña;2018;17555
09 Cataluña;2017;18504
09 Cataluña;2016;21769
09 Cataluña;2015;18894
09 Cataluña;2014;17664
09 Cataluña;2013;17707
09 Cataluña;2012;16200
10 Comunitat Valenciana;2022;11888
10 Comunitat Valenciana;2021;11851
10 Comunitat Valenciana;2020;9507
10 Comunitat Valenciana;2019;10975
10 Comunitat Valenciana;2018;11144
10 Comunitat Valenciana;2017;10845
10 Comunitat Valenciana;2016;11148
10 Comunitat Valenciana;2015;10991
10 Comunitat Valenciana;2014;11206
10 Comunitat Valenciana;2013;11077
10 Comunitat Valenciana;2012;10336
11 Extremadura;2022;1114
11 Extremadura;2021;1184
11 Extremadura;2020;1014
11 Extremadura;2019;1136
11 Extremadura;2018;1138
11 Extremadura;2017;1150
11 Extremadura;2016;1248
11 Extremadura;2015;1165
11 Extremadura;2014;1186
11 Extremadura;2013;1141
11 Extremadura;2012;1155
12 Galicia;2022;3805
12 Galicia;2021;3882
12 Galicia;2020;3212
12 Galicia;2019;3772
12 Galicia;2018;4025
12 Galicia;2017;4068
12 Galicia;2016;4533
12 Galicia;2015;3968
12 Galicia;2014;4266
12 Galicia;2013;4276
12 Galicia;2012;4143
13 Madrid, Comunidad de;2022;22836
13 Madrid, Comunidad de;2021;23691
13 Madrid, Comunidad de;2020;17965
13 Madrid, Comunidad de;2019;21784
13 Madrid, Comunidad de;2018;21637
13 Madrid, Comunidad de;2017;20415
13 Madrid, Comunidad de;2016;19924
13 Madrid, Comunidad de;2015;19947
13 Madrid, Comunidad de;2014;20268
13 Madrid, Comunidad de;2013;19646
13 Madrid, Comunidad de;2012;18278
14 Murcia, Región de;2022;2395
14 Murcia, Región de;2021;2705
14 Murcia, Región de;2020;2263
14 Murcia, Región de;2019;2421
14 Murcia, Región de;2018;2603
14 Murcia, Región de;2017;2641
14 Murcia, Región de;2016;2776
14 Murcia, Región de;2015;2796
14 Murcia, Región de;2014;2732
14 Murcia, Región de;2013;2894
14 Murcia, Región de;2012;2763
15 Navarra, Comunidad Foral de;2022;738
15 Navarra, Comunidad Foral de;2021;877
15 Navarra, Comunidad Foral de;2020;633
15 Navarra, Comunidad Foral de;2019;785
15 Navarra, Comunidad Foral de;2018;834
15 Navarra, Comunidad Foral de;2017;838
15 Navarra, Comunidad Foral de;2016;831
15 Navarra, Comunidad Foral de;2015;820
15 Navarra, Comunidad Foral de;2014;905
15 Navarra, Comunidad Foral de;2013;822
15 Navarra, Comunidad Foral de;2012;939
16 País Vasco;2022;3055
16 País Vasco;2021;3138
16 País Vasco;2020;2604
16 País Vasco;2019;3091
16 País Vasco;2018;3075
16 País Vasco;2017;2960
16 País Vasco;2016;3008
16 País Vasco;2015;3137
16 País Vasco;2014;3447
16 País Vasco;2013;3203
16 País Vasco;2012;3001
17 Rioja, La;2022;395
17 Rioja, La;2021;431
17 Rioja, La;2020;351
17 Rioja, La;2019;443
17 Rioja, La;2018;405
17 Rioja, La;2017;408
17 Rioja, La;2016;571
17 Rioja, La;2015;425
17 Rioja, La;2014;448
17 Rioja, La;2013;410
17 Rioja, La;2012;439
18 Ceuta;2022;65
18 Ceuta;2021;79
18 Ceuta;2020;57
18 Ceuta;2019;87
18 Ceuta;2018;98
18 Ceuta;2017;71
18 Ceuta;2016;82
18 Ceuta;2015;107
18 Ceuta;2014;97
18 Ceuta;2013;88
18 Ceuta;2012;85
19 Melilla;2022;101
19 Melilla;2021;94
19 Melilla;2020;96
19 Melilla;2019;94
19 Melilla;2018;132
19 Melilla;2017;123
19 Melilla;2016;109
19 Melilla;2015;98
19 Melilla;2014;97
19 Melilla;2013;78
19 Melilla;2012;71
