,Clase de disolución,Año,Comunidad Autónoma,Número Sociedades
51,Voluntaria,2022,"14 Murcia, Región de",294
52,Voluntaria,2022,"15 Navarra, Comunidad Foral de",8
53,Voluntaria,2022,16 País Vasco,1113
54,Voluntaria,2022,"17 Rioja, La",144
55,Voluntaria,2022,18 Ceuta,17
56,Voluntaria,2022,19 Melilla,25
57,Otras,2021,01 Andalucía,398
58,Otras,2021,02 Aragón,81
59,Otras,2021,"03 Asturias, Principado de",54
60,Otras,2021,"04 Balears, Illes",59
61,Otras,2021,05 Canarias,98
62,Otras,2021,06 Canarias,27
63,Otras,2021,07 Castilla y León,97
64,Otras,2021,08 Castilla-La Mancha,62
65,Otras,2021,09 Cataluña,387
66,Otras,2021,10 Comunitat Valenciana,445
67,Otras,2021,11 Extremadura,29
68,Otras,2021,12 Galicia,200
69,Otras,2021,"13 Madrid, Comunidad de",370
70,Otras,2021,"14 Murcia, Región de",98
71,Otras,2021,"15 Navarra, Comunidad Foral de",30
72,Otras,2021,16 País Vasco,135
73,Otras,2021,"17 Rioja, La",4
74,Otras,2021,18 Ceuta,2
75,Otras,2021,19 Melilla,0
76,Por fusión,2021,01 Andalucía,214
77,Por fusión,2021,02 Aragón,63
78,Por fusión,2021,"03 Asturias, Principado de",20
79,Por fusión,2021,"04 Balears, Illes",99
80,Por fusión,2021,05 Canarias,33
81,Por fusión,2021,06 Canarias,13
82,Por fusión,2021,07 Castilla y León,67
83,Por fusión,2021,08 Castilla-La Mancha,43
84,Por fusión,2021,09 Cataluña,166
85,Por fusión,2021,10 Comunitat Valenciana,161
86,Por fusión,2021,11 Extremadura,20
87,Por fusión,2021,12 Galicia,96
88,Por fusión,2021,"13 Madrid, Comunidad de",1370
89,Por fusión,2021,"14 Murcia, Región de",32
90,Por fusión,2021,"15 Navarra, Comunidad Foral de",22
91,Por fusión,2021,16 País Vasco,197
92,Por fusión,2021,"17 Rioja, La",14
93,Por fusión,2021,18 Ceuta,0
94,Por fusión,2021,19 Melilla,1
95,Voluntaria,2021,01 Andalucía,2980
96,Voluntaria,2021,02 Aragón,645
97,Voluntaria,2021,"03 Asturias, Principado de",374
98,Voluntaria,2021,"04 Balears, Illes",854
99,Voluntaria,2021,05 Canarias,819
100,Voluntaria,2021,06 Canarias,220
101,Voluntaria,2021,07 Castilla y León,977
102,Voluntaria,2021,08 Castilla-La Mancha,354
103,Voluntaria,2021,09 Cataluña,1291
104,Voluntaria,2021,10 Comunitat Valenciana,1331
105,Voluntaria,2021,11 Extremadura,292
106,Voluntaria,2021,12 Galicia,1313
107,Voluntaria,2021,"13 Madrid, Comunidad de",5634
108,Voluntaria,2021,"14 Murcia, Región de",144
109,Voluntaria,2021,"15 Navarra, Comunidad Foral de",3
110,Voluntaria,2021,16 País Vasco,1165
111,Voluntaria,2021,"17 Rioja, La",171
112,Voluntaria,2021,18 Ceuta,17
113,Voluntaria,2021,19 Melilla,17
114,Otras,2020,01 Andalucía,292
115,Otras,2020,02 Aragón,65
116,Otras,2020,"03 Asturias, Principado de",26
117,Otras,2020,"04 Balears, Illes",30
