Estados Sociedades;Actividad económica;Periodo;Total
Disueltas;A Agricultura, ganadería, silvicultura y pesca;2015M02;1,4
Disueltas;A Agricultura, ganadería, silvicultura y pesca;2015M01;1,03
Disueltas;A Agricultura, ganadería, silvicultura y pesca;2014M12;0,73
Disueltas;A Agricultura, ganadería, silvicultura y pesca;2014M11;1,33
Disueltas;A Agricultura, ganadería, silvicultura y pesca;2014M10;1,09
Disueltas;A Agricultura, ganadería, silvicultura y pesca;2014M09;1,74
Disueltas;A Agricultura, ganadería, silvicultura y pesca;2014M08;2,23
Disueltas;A Agricultura, ganadería, silvicultura y pesca;2014M07;1,92
Disueltas;A Agricultura, ganadería, silvicultura y pesca;2014M06;1,19
Disueltas;A Agricultura, ganadería, silvicultura y pesca;2014M05;1,39
Disueltas;A Agricultura, ganadería, silvicultura y pesca;2014M04;1,43
Disueltas;A Agricultura, ganadería, silvicultura y pesca;2014M03;1,56
Disueltas;A Agricultura, ganadería, silvicultura y pesca;2014M02;0,97
Disueltas;A Agricultura, ganadería, silvicultura y pesca;2014M01;0,86
Disueltas;A Agricultura, ganadería, silvicultura y pesca;2013M12;0,42
Disueltas;A Agricultura, ganadería, silvicultura y pesca;2013M11;0,93
Disueltas;A Agricultura, ganadería, silvicultura y pesca;2013M10;0,7
Disueltas;A Agricultura, ganadería, silvicultura y pesca;2013M09;1,38
Disueltas;A Agricultura, ganadería, silvicultura y pesca;2013M08;2,24
Disueltas;A Agricultura, ganadería, silvicultura y pesca;2013M07;1,07
Disueltas;A Agricultura, ganadería, silvicultura y pesca;2013M06;0,66
Disueltas;A Agricultura, ganadería, silvicultura y pesca;2013M05;1,77
Disueltas;A Agricultura, ganadería, silvicultura y pesca;2013M04;1,39
Disueltas;A Agricultura, ganadería, silvicultura y pesca;2013M03;1,75
Disueltas;A Agricultura, ganadería, silvicultura y pesca;2013M02;1,36
Disueltas;A Agricultura, ganadería, silvicultura y pesca;2013M01;1,1
Disueltas;A Agricultura, ganadería, silvicultura y pesca;2012M12;1,04
Disueltas;A Agricultura, ganadería, silvicultura y pesca;2012M11;0,94
Disueltas;A Agricultura, ganadería, silvicultura y pesca;2012M10;0,97
Disueltas;A Agricultura, ganadería, silvicultura y pesca;2012M09;1,08
Disueltas;A Agricultura, ganadería, silvicultura y pesca;2012M08;1,93
Disueltas;A Agricultura, ganadería, silvicultura y pesca;2012M07;0,92
Disueltas;A Agricultura, ganadería, silvicultura y pesca;2012M06;1,08
Disueltas;A Agricultura, ganadería, silvicultura y pesca;2012M05;1,38
Disueltas;A Agricultura, ganadería, silvicultura y pesca;2012M04;1,63
Disueltas;A Agricultura, ganadería, silvicultura y pesca;2012M03;1,21
Disueltas;A Agricultura, ganadería, silvicultura y pesca;2012M02;1,34
Disueltas;A Agricultura, ganadería, silvicultura y pesca;2012M01;1,24
Disueltas;Industria y energía;2023M09;9,57
Disueltas;Industria y energía;2023M08;10,58
Disueltas;Industria y energía;2023M07;10,35
Disueltas;Industria y energía;2023M06;9,84
Disueltas;Industria y energía;2023M05;9,05
Disueltas;Industria y energía;2023M04;7,41
Disueltas;Industria y energía;2023M03;10,28
Disueltas;Industria y energía;2023M02;15,42
Disueltas;Industria y energía;2023M01;11,78
Disueltas;Industria y energía;2022M12;8,74
Disueltas;Industria y energía;2022M11;8,85
Disueltas;Industria y energía;2022M10;9,28
Disueltas;Industria y energía;2022M09;8,05
Disueltas;Industria y energía;2022M08;11,39
Disueltas;Industria y energía;2022M07;10,11
Disueltas;Industria y energía;2022M06;11,64
Disueltas;Industria y energía;2022M05;11,64
Disueltas;Industria y energía;2022M04;12,69
Disueltas;Industria y energía;2022M03;24,27
Disueltas;Industria y energía;2022M02;8,86
Disueltas;Industria y energía;2022M01;9,02
Disueltas;Industria y energía;2021M12;9,79
Disueltas;Industria y energía;2021M11;12,35
Disueltas;Industria y energía;2021M10;10,52
Disueltas;Industria y energía;2021M09;9,41
Disueltas;Industria y energía;2021M08;8,88
Disueltas;Industria y energía;2021M07;11,15
Disueltas;Industria y energía;2021M06;8,68
Disueltas;Industria y energía;2021M05;12,43
Disueltas;Industria y energía;2021M04;18,15
Disueltas;Industria y energía;2021M03;10,36
Disueltas;Industria y energía;2021M02;10,06
Disueltas;Industria y energía;2021M01;11,54
Disueltas;Industria y energía;2020M12;14,23
Disueltas;Industria y energía;2020M11;19,94
Disueltas;Industria y energía;2020M10;11,31
Disueltas;Industria y energía;2020M09;28,35
Disueltas;Industria y energía;2020M08;8,57
Disueltas;Industria y energía;2020M07;13,45
Disueltas;Industria y energía;2020M06;14,57
Disueltas;Industria y energía;2020M05;12,82
Disueltas;Industria y energía;2020M04;7,27
Disueltas;Industria y energía;2020M03;11,12
Disueltas;Industria y energía;2020M02;13,6
