Año;Periodo;Afiliados a la Seguridad Social
2020;Día 21 de diciembre;722.923
2020;Día 22 de diciembre;722.695
2020;Día 23 de diciembre;719.346
2020;Día 24 de diciembre;704.986
2020;Día 25 de diciembre;704.058
2020;Día 26 de diciembre;705.812
2020;Día 27 de diciembre;704.766
2020;Día 28 de diciembre;708.335
2020;Día 29 de diciembre;708.801
2020;Día 30 de diciembre;708.005
2020;Día 31 de diciembre;702.808
2021;2021;700.121
2021;Día 2 de enero;698.813
2021;Día 3 de enero;699.351
2021;Día 4 de enero;711.999
2021;Día 5 de enero;711.670
2021;Día 6 de enero;706.790
2021;Día 7 de enero;742.885
2021;Día 8 de enero;748.318
2021;Día 9 de enero;747.606
2021;Día 10 de enero;749.896
2021;Día 11 de enero;781.473
2021;Día 12 de enero;783.349
2021;Día 13 de enero;799.529
2021;Día 14 de enero;805.872
2021;Día 15 de enero;814.256
2021;Día 16 de enero;813.678
2021;Día 17 de enero;813.668
2021;Día 18 de enero;836.405
2021;Día 19 de enero;841.803
2021;Día 20 de enero;839.483
2021;Día 21 de enero;879.511
2021;Día 22 de enero;891.078
2021;Día 23 de enero;890.611
2021;Día 24 de enero;890.843
2021;Día 25 de enero;904.917
2021;Día 26 de enero;906.548
2021;Día 27 de enero;924.338
2021;Día 28 de enero;927.597
2021;Día 29 de enero;933.743
2021;Día 30 de enero;930.599
2021;Día 31 de enero;928.045
2021;Día 1 de febrero;962.067
2021;Día 2 de febrero;963.128
2021;Día 3 de febrero;972.392
2021;Día 4 de febrero;974.459
2021;Día 5 de febrero;978.427
2021;Día 6 de febrero;973.370
2021;Día 7 de febrero;970.211
2021;Día 8 de febrero;968.955
2021;Día 9 de febrero;961.478
2021;Día 10 de febrero;954.700
2021;Día 11 de febrero;952.997
2021;Día 12 de febrero;947.847
2021;Día 13 de febrero;927.210
2021;Día 14 de febrero;926.779
2021;Día 15 de febrero;927.383
2021;Día 16 de febrero;915.250
2021;Día 17 de febrero;908.820
2021;Día 18 de febrero;905.796
2021;Día 19 de febrero;905.477
2021;Día 20 de febrero;893.642
2021;Día 21 de febrero;892.430
2021;Día 22 de febrero;891.651
2021;Día 23 de febrero;882.567
2021;Día 24 de febrero;879.859
2021;Día 25 de febrero;878.186
2021;Día 26 de febrero;872.462
2021;Día 27 de febrero;859.724
2021;Día 28 de febrero;858.785
2021;Día 1 de marzo;830.344
2021;Día 2 de marzo;822.137
2021;Día 3 de marzo;817.580
2021;Día 4 de marzo;814.484
2021;Día 5 de marzo;808.609
2021;Día 6 de marzo;794.085
2021;Día 7 de marzo;791.222
2021;Día 8 de marzo;776.415
2021;Día 9 de marzo;764.126
2021;Día 10 de marzo;760.969
2021;Día 11 de marzo;758.754
2021;Día 12 de marzo;758.655
2021;Día 13 de marzo;746.012
2021;Día 14 de marzo;744.054
2021;Día 15 de marzo;729.875
2021;Día 16 de marzo;722.090
2021;Día 17 de marzo;717.654
2021;Día 18 de marzo;716.216
2021;Día 19 de marzo;705.206
2021;Día 20 de marzo;697.997
2021;Día 21 de marzo;697.906
2021;Día 22 de marzo;699.541
2021;Día 23 de marzo;694.561
2021;Día 24 de marzo;693.490
2021;Día 25 de marzo;691.458
2021;Día 26 de marzo;693.968
2021;Día 27 de marzo;678.817
2021;Día 28 de marzo;678.428
2021;Día 29 de marzo;678.368
2021;Día 30 de marzo;676.828
2021;Día 31 de marzo;674.366
2021;Día 1 de abril;656.842
2021;Día 2 de abril;655.243
2021;Día 3 de abril;650.921
2021;Día 4 de abril;650.284
2021;Día 5 de abril;657.003
2021;Día 6 de abril;659.285
2021;Día 7 de abril;657.211
2021;Día 8 de abril;655.637
2021;Día 9 de abril;657.734
2021;Día 10 de abril;649.599
2021;Día 11 de abril;649.589
2021;Día 12 de abril;653.246
2021;Día 13 de abril;651.092
2021;Día 14 de abril;650.661
2021;Día 15 de abril;650.331
2021;Día 16 de abril;652.524
2021;Día 17 de abril;643.716
2021;Día 18 de abril;643.678
2021;Día 19 de abril;646.081
2021;Día 20 de abril;643.360
2021;Día 21 de abril;641.273
2021;Día 22 de abril;641.228
2021;Día 23 de abril;641.984
2021;Día 24 de abril;634.887
2021;Día 25 de abril;634.531
2021;Día 26 de abril;633.131
2021;Día 27 de abril;631.083
2021;Día 28 de abril;633.921
2021;Día 29 de abril;633.536
2021;Día 30 de abril;636.752
2021;Día 1 de mayo;601.194
2021;Día 2 de mayo;603.147
2021;Día 3 de mayo;606.016
2021;Día 4 de mayo;602.186
2021;Día 5 de mayo;598.554
2021;Día 6 de mayo;596.399
2021;Día 7 de mayo;601.209
2021;Día 8 de mayo;585.035
2021;Día 9 de mayo;581.213
2021;Día 10 de mayo;573.077
2021;Día 11 de mayo;564.139
2021;Día 12 de mayo;553.603
2021;Día 13 de mayo;550.058
2021;Día 14 de mayo;548.364
2021;Día 15 de mayo;535.190
2021;Día 16 de mayo;533.432
2021;Día 17 de mayo;529.185
2021;Día 18 de mayo;524.735
2021;Día 19 de mayo;520.697
2021;Día 20 de mayo;518.757
2021;Día 21 de mayo;522.806
2021;Día 22 de mayo;506.743
2021;Día 23 de mayo;506.290
2021;Día 24 de mayo;505.786
2021;Día 25 de mayo;502.011
2021;Día 26 de mayo;499.672
2021;Día 27 de mayo;499.515
2021;Día 28 de mayo;502.467
2021;Día 29 de mayo;489.119
2021;Día 30 de mayo;489.693
2021;Día 31 de mayo;491.983
2021;Día 1 de junio;476.481
2021;Día 2 de junio;471.420
2021;Día 3 de junio;467.764
2021;Día 4 de junio;473.168
2021;Día 5 de junio;458.913
2021;Día 6 de junio;459.178
2021;Día 7 de junio;459.480
2021;Día 8 de junio;453.273
2021;Día 9 de junio;448.942
2021;Día 10 de junio;448.989
2021;Día 11 de junio;451.051
2021;Día 12 de junio;435.225
2021;Día 13 de junio;434.586
2021;Día 14 de junio;432.093
2021;Día 15 de junio;423.233
2021;Día 16 de junio;414.084
2021;Día 17 de junio;414.926
2021;Día 18 de junio;418.520
2021;Día 19 de junio;403.057
2021;Día 20 de junio;403.048
2021;Día 21 de junio;409.276
2021;Día 22 de junio;403.968
2021;Día 23 de junio;394.504
2021;Día 24 de junio;393.055
2021;Día 25 de junio;399.798
2021;Día 26 de junio;383.464
2021;Día 27 de junio;383.702
2021;Día 28 de junio;390.589
2021;Día 29 de junio;387.808
2021;Día 30 de junio;387.731
2021;Día 1 de julio;355.401
2021;Día 2 de julio;356.224
2021;Día 3 de julio;339.070
2021;Día 4 de julio;336.890
2021;Día 5 de julio;338.254
2021;Día 6 de julio;330.901
2021;Día 7 de julio;328.508
2021;Día 8 de julio;326.748
2021;Día 9 de julio;330.727
2021;Día 10 de julio;320.275
2021;Día 11 de julio;320.046
2021;Día 12 de julio;325.339
2021;Día 13 de julio;320.350
2021;Día 14 de julio;320.463
2021;Día 15 de julio;319.480
2021;Día 16 de julio;315.102
2021;Día 17 de julio;308.735
2021;Día 18 de julio;308.123
2021;Día 19 de julio;310.129
2021;Día 20 de julio;305.631
2021;Día 21 de julio;304.790
2021;Día 22 de julio;308.308
2021;Día 23 de julio;312.482
2021;Día 24 de julio;298.114
2021;Día 25 de julio;298.365
2021;Día 26 de julio;300.985
2021;Día 27 de julio;299.757
2021;Día 28 de julio;299.491
2021;Día 29 de julio;302.595
2021;Día 30 de julio;308.702
2021;Día 31 de julio;292.722
2021;Día 1 de agosto;278.270
2021;Día 2 de agosto;275.840
2021;Día 3 de agosto;274.225
2021;Día 4 de agosto;273.050
2021;Día 5 de agosto;272.178
2021;Día 6 de agosto;271.905
2021;Día 7 de agosto;269.498
2021;Día 8 de agosto;269.144
2021;Día 9 de agosto;267.558
2021;Día 10 de agosto;266.208
2021;Día 11 de agosto;265.222
2021;Día 12 de agosto;264.458
2021;Día 13 de agosto;264.288
2021;Día 14 de agosto;262.207
2021;Día 15 de agosto;262.173
2021;Día 16 de agosto;262.341
2021;Día 17 de agosto;262.170
2021;Día 18 de agosto;260.793
2021;Día 19 de agosto;260.052
2021;Día 20 de agosto;260.566
2021;Día 21 de agosto;258.419
2021;Día 22 de agosto;259.974
2021;Día 23 de agosto;268.617
2021;Día 24 de agosto;267.614
2021;Día 25 de agosto;268.598
2021;Día 26 de agosto;268.588
2021;Día 27 de agosto;272.110
2021;Día 28 de agosto;259.740
2021;Día 29 de agosto;259.882
2021;Día 30 de agosto;264.112
2021;Día 31 de agosto;263.323
2021;Día 1 de septiembre;256.188
2021;Día 2 de septiembre;253.819
2021;Día 3 de septiembre;265.635
2021;Día 4 de septiembre;249.438
2021;Día 5 de septiembre;246.918
2021;Día 6 de septiembre;256.377
2021;Día 7 de septiembre;254.871
2021;Día 8 de septiembre;250.804
2021;Día 9 de septiembre;254.163
2021;Día 10 de septiembre;257.764
2021;Día 11 de septiembre;242.677
2021;Día 12 de septiembre;242.404
2021;Día 13 de septiembre;250.276
2021;Día 14 de septiembre;243.645
2021;Día 15 de septiembre;241.363
2021;Día 16 de septiembre;242.009
2021;Día 17 de septiembre;252.577
2021;Día 18 de septiembre;236.573
2021;Día 19 de septiembre;236.178
2021;Día 20 de septiembre;249.799
2021;Día 21 de septiembre;241.881
2021;Día 22 de septiembre;243.400
2021;Día 23 de septiembre;239.835
2021;Día 24 de septiembre;251.763
2021;Día 25 de septiembre;229.556
2021;Día 26 de septiembre;232.018
2021;Día 27 de septiembre;250.550
2021;Día 28 de septiembre;243.902
2021;Día 29 de septiembre;231.650
2021;Día 30 de septiembre;234.047
2021;Día 1 de octubre;209.720
2021;Día 2 de octubre;205.649
2021;Día 3 de octubre;205.656
2021;Día 4 de octubre;205.405
2021;Día 5 de octubre;204.297
2021;Día 6 de octubre;203.493
2021;Día 7 de octubre;202.856
2021;Día 8 de octubre;203.551
2021;Día 9 de octubre;200.487
2021;Día 10 de octubre;200.399
2021;Día 11 de octubre;201.148
2021;Día 12 de octubre;198.709
2021;Día 13 de octubre;199.489
2021;Día 14 de octubre;198.872
2021;Día 15 de octubre;198.660
2021;Día 16 de octubre;196.146
2021;Día 17 de octubre;196.097
2021;Día 18 de octubre;196.056
2021;Día 19 de octubre;194.985
2021;Día 20 de octubre;194.633
2021;Día 21 de octubre;194.712
2021;Día 22 de octubre;196.009
2021;Día 23 de octubre;192.975
2021;Día 24 de octubre;192.924
2021;Día 25 de octubre;193.061
2021;Día 26 de octubre;191.590
2021;Día 27 de octubre;191.138
2021;Día 28 de octubre;190.878
2021;Día 29 de octubre;190.904
2021;Día 30 de octubre;190.718
2021;Día 1 de noviembre;134.579
2021;Día 2 de noviembre;155.173
2021;Día 3 de noviembre;147.636
2021;Día 4 de noviembre;146.544
2021;Día 5 de noviembre;152.173
2021;Día 6 de noviembre;143.176
2021;Día 7 de noviembre;139.523
2021;Día 8 de noviembre;153.232
2021;Día 9 de noviembre;142.538
2021;Día 10 de noviembre;141.172
2021;Día 11 de noviembre;143.274
2021;Día 12 de noviembre;156.047
2021;Día 13 de noviembre;137.681
2021;Día 14 de noviembre;134.550
2021;Día 15 de noviembre;146.243
2021;Día 16 de noviembre;136.500
2021;Día 17 de noviembre;135.021
2021;Día 18 de noviembre;135.812
2021;Día 19 de noviembre;144.781
2021;Día 20 de noviembre;129.565
2021;Día 21 de noviembre;129.143
2021;Día 22 de noviembre;143.118
2021;Día 23 de noviembre;132.968
2021;Día 24 de noviembre;131.019
2021;Día 25 de noviembre;131.970
2021;Día 26 de noviembre;143.565
2021;Día 27 de noviembre;128.791
2021;Día 28 de noviembre;129.703
2021;Día 29 de noviembre;142.857
2021;Día 30 de noviembre;136.828
2021;Día 1 de diciembre;129.722
2021;Día 2 de diciembre;129.483
2021;Día 3 de diciembre;126.721
2021;Día 4 de diciembre;126.231
2021;Día 5 de diciembre;126.125
2021;Día 6 de diciembre;125.585
2021;Día 7 de diciembre;125.677
2021;Día 8 de diciembre;125.493
2021;Día 9 de diciembre;125.346
2021;Día 10 de diciembre;125.241
2021;Día 11 de diciembre;125.131
2021;Día 12 de diciembre;125.133
2021;Día 13 de diciembre;124.871
2021;Día 14 de diciembre;124.704
2021;Día 15 de diciembre;124.518
2021;Día 16 de diciembre;124.270
2021;Día 17 de diciembre;124.122
2021;Día 18 de diciembre;124.009
2021;Día 19 de diciembre;123.989
2021;Día 20 de diciembre;123.723
2021;Día 21 de diciembre;123.667
2021;Día 22 de diciembre;123.478
2021;Día 23 de diciembre;123.290
2021;Día 24 de diciembre;123.152
2021;Día 25 de diciembre;123.093
2021;Día 26 de diciembre;123.077
2021;Día 27 de diciembre;122.986
2021;Día 28 de diciembre;122.901
2021;Día 29 de diciembre;122.808
2021;Día 30 de diciembre;122.712
