Total Nacional;Comunidades y Ciudades Autónomas;Principales indicadores;Periodo;Total
Total Nacional;01 Andalucía;Situación del trimestre anterior;2013T3;-34,0
Total Nacional;01 Andalucía;Situación del trimestre anterior;2013T2;-47,6
Total Nacional;01 Andalucía;Situación del trimestre anterior;2013T1;-52,0
Total Nacional;01 Andalucía;Expectativas del trimestre entrante;2023T4;-3,1
Total Nacional;01 Andalucía;Expectativas del trimestre entrante;2023T3;4,9
Total Nacional;01 Andalucía;Expectativas del trimestre entrante;2023T2;2,0
Total Nacional;01 Andalucía;Expectativas del trimestre entrante;2023T1;-14,1
Total Nacional;01 Andalucía;Expectativas del trimestre entrante;2022T4;-15,2
Total Nacional;01 Andalucía;Expectativas del trimestre entrante;2022T3;-8,4
Total Nacional;01 Andalucía;Expectativas del trimestre entrante;2022T2;-18,2
Total Nacional;01 Andalucía;Expectativas del trimestre entrante;2022T1;-15,4
Total Nacional;01 Andalucía;Expectativas del trimestre entrante;2021T4;-3,7
Total Nacional;01 Andalucía;Expectativas del trimestre entrante;2021T3;-5,0
Total Nacional;01 Andalucía;Expectativas del trimestre entrante;2021T2;-26,8
Total Nacional;01 Andalucía;Expectativas del trimestre entrante;2021T1;-39,0
Total Nacional;01 Andalucía;Expectativas del trimestre entrante;2020T4;-40,5
Total Nacional;01 Andalucía;Expectativas del trimestre entrante;2020T3;-48,5
Total Nacional;01 Andalucía;Expectativas del trimestre entrante;2020T2;-71,8
Total Nacional;01 Andalucía;Expectativas del trimestre entrante;2020T1;-8,8
Total Nacional;01 Andalucía;Expectativas del trimestre entrante;2019T4;-4,7
Total Nacional;01 Andalucía;Expectativas del trimestre entrante;2019T3;0,4
Total Nacional;01 Andalucía;Expectativas del trimestre entrante;2019T2;0,2
Total Nacional;01 Andalucía;Expectativas del trimestre entrante;2019T1;-5,9
Total Nacional;01 Andalucía;Expectativas del trimestre entrante;2018T4;-2,2
Total Nacional;01 Andalucía;Expectativas del trimestre entrante;2018T3;4,8
Total Nacional;01 Andalucía;Expectativas del trimestre entrante;2018T2;7,3
Total Nacional;01 Andalucía;Expectativas del trimestre entrante;2018T1;-1,0
Total Nacional;01 Andalucía;Expectativas del trimestre entrante;2017T4;0,3
Total Nacional;01 Andalucía;Expectativas del trimestre entrante;2017T3;2,7
Total Nacional;01 Andalucía;Expectativas del trimestre entrante;2017T2;4,5
Total Nacional;01 Andalucía;Expectativas del trimestre entrante;2017T1;-5,0
Total Nacional;01 Andalucía;Expectativas del trimestre entrante;2016T4;-3,9
Total Nacional;01 Andalucía;Expectativas del trimestre entrante;2016T3;-2,9
Total Nacional;01 Andalucía;Expectativas del trimestre entrante;2016T2;1,9
Total Nacional;01 Andalucía;Expectativas del trimestre entrante;2016T1;-4,8
Total Nacional;01 Andalucía;Expectativas del trimestre entrante;2015T4;-0,1
Total Nacional;01 Andalucía;Expectativas del trimestre entrante;2015T3;-4,6
Total Nacional;01 Andalucía;Expectativas del trimestre entrante;2015T2;2,1
Total Nacional;01 Andalucía;Expectativas del trimestre entrante;2015T1;-13,8
Total Nacional;01 Andalucía;Expectativas del trimestre entrante;2014T4;-10,3
Total Nacional;01 Andalucía;Expectativas del trimestre entrante;2014T3;-12,1
Total Nacional;01 Andalucía;Expectativas del trimestre entrante;2014T2;-14,9
Total Nacional;01 Andalucía;Expectativas del trimestre entrante;2014T1;-25,8
Total Nacional;01 Andalucía;Expectativas del trimestre entrante;2013T4;-24,4
Total Nacional;01 Andalucía;Expectativas del trimestre entrante;2013T3;-29,0
Total Nacional;01 Andalucía;Expectativas del trimestre entrante;2013T2;-38,0
Total Nacional;01 Andalucía;Expectativas del trimestre entrante;2013T1;-49,2
Total Nacional;02 Aragón;Indice de confianza empresarial armonizado;2023T4;135,2
Total Nacional;02 Aragón;Indice de confianza empresarial armonizado;2023T3;140,7
Total Nacional;02 Aragón;Indice de confianza empresarial armonizado;2023T2;137,8
Total Nacional;02 Aragón;Indice de confianza empresarial armonizado;2023T1;131,2
Total Nacional;02 Aragón;Indice de confianza empresarial armonizado;2022T4;126,8
Total Nacional;02 Aragón;Indice de confianza empresarial armonizado;2022T3;130,5
Total Nacional;02 Aragón;Indice de confianza empresarial armonizado;2022T2;122,9
Total Nacional;02 Aragón;Indice de confianza empresarial armonizado;2022T1;133,7
Total Nacional;02 Aragón;Indice de confianza empresarial armonizado;2021T4;131,0
Total Nacional;02 Aragón;Indice de confianza empresarial armonizado;2021T3;133,2
Total Nacional;02 Aragón;Indice de confianza empresarial armonizado;2021T2;119,4
Total Nacional;02 Aragón;Indice de confianza empresarial armonizado;2021T1;114,8
Total Nacional;02 Aragón;Indice de confianza empresarial armonizado;2020T4;109,6
Total Nacional;02 Aragón;Indice de confianza empresarial armonizado;2020T3;97,3
Total Nacional;02 Aragón;Indice de confianza empresarial armonizado;2020T2;95,0
Total Nacional;02 Aragón;Indice de confianza empresarial armonizado;2020T1;134,0
Total Nacional;02 Aragón;Indice de confianza empresarial armonizado;2019T4;131,2
Total Nacional;02 Aragón;Indice de confianza empresarial armonizado;2019T3;135,3
Total Nacional;02 Aragón;Indice de confianza empresarial armonizado;2019T2;134,9
Total Nacional;02 Aragón;Indice de confianza empresarial armonizado;2019T1;136,3
Total Nacional;02 Aragón;Indice de confianza empresarial armonizado;2018T4;138,2
Total Nacional;02 Aragón;Indice de confianza empresarial armonizado;2018T3;138,2
Total Nacional;02 Aragón;Indice de confianza empresarial armonizado;2018T2;138,5
Total Nacional;02 Aragón;Indice de confianza empresarial armonizado;2018T1;140,9
Total Nacional;02 Aragón;Indice de confianza empresarial armonizado;2017T4;134,7
Total Nacional;02 Aragón;Indice de confianza empresarial armonizado;2017T3;137,4
Total Nacional;02 Aragón;Indice de confianza empresarial armonizado;2017T2;134,8
Total Nacional;02 Aragón;Indice de confianza empresarial armonizado;2017T1;131,9
Total Nacional;02 Aragón;Indice de confianza empresarial armonizado;2016T4;129,1
Total Nacional;02 Aragón;Indice de confianza empresarial armonizado;2016T3;126,2
Total Nacional;02 Aragón;Indice de confianza empresarial armonizado;2016T2;131,4
Total Nacional;02 Aragón;Indice de confianza empresarial armonizado;2016T1;132,8
Total Nacional;02 Aragón;Indice de confianza empresarial armonizado;2015T4;132,1
Total Nacional;02 Aragón;Indice de confianza empresarial armonizado;2015T3;134,4
Total Nacional;02 Aragón;Indice de confianza empresarial armonizado;2015T2;127,6
Total Nacional;02 Aragón;Indice de confianza empresarial armonizado;2015T1;125,6
Total Nacional;02 Aragón;Indice de confianza empresarial armonizado;2014T4;124,8
Total Nacional;02 Aragón;Indice de confianza empresarial armonizado;2014T3;124,2
Total Nacional;02 Aragón;Indice de confianza empresarial armonizado;2014T2;120,2
Total Nacional;02 Aragón;Indice de confianza empresarial armonizado;2014T1;114,5
Total Nacional;02 Aragón;Indice de confianza empresarial armonizado;2013T4;113,0
Total Nacional;02 Aragón;Indice de confianza empresarial armonizado;2013T3;110,2
Total Nacional;02 Aragón;Indice de confianza empresarial armonizado;2013T2;103,0
Total Nacional;02 Aragón;Indice de confianza empresarial armonizado;2013T1;100,0
Total Nacional;02 Aragón;Situación del trimestre anterior;2023T4;1,2
Total Nacional;02 Aragón;Situación del trimestre anterior;2023T3;10,4
Total Nacional;02 Aragón;Situación del trimestre anterior;2023T2;2,6
Total Nacional;02 Aragón;Situación del trimestre anterior;2023T1;-2,3
Total Nacional;02 Aragón;Situación del trimestre anterior;2022T4;-13,4
Total Nacional;02 Aragón;Situación del trimestre anterior;2022T3;-1,0
Total Nacional;02 Aragón;Situación del trimestre anterior;2022T2;-17,1
Total Nacional;02 Aragón;Situación del trimestre anterior;2022T1;-0,3
Total Nacional;02 Aragón;Situación del trimestre anterior;2021T4;-10,5
Total Nacional;02 Aragón;Situación del trimestre anterior;2021T3;-5,1
Total Nacional;02 Aragón;Situación del trimestre anterior;2021T2;-28,5
Total Nacional;02 Aragón;Situación del trimestre anterior;2021T1;-26,1
Total Nacional;02 Aragón;Situación del trimestre anterior;2020T4;-36,6
Total Nacional;02 Aragón;Situación del trimestre anterior;2020T3;-64,3
Total Nacional;02 Aragón;Situación del trimestre anterior;2020T2;-42,5
Total Nacional;02 Aragón;Situación del trimestre anterior;2020T1;0,3
Total Nacional;02 Aragón;Situación del trimestre anterior;2019T4;-9,0
Total Nacional;02 Aragón;Situación del trimestre anterior;2019T3;-1,6
Total Nacional;02 Aragón;Situación del trimestre anterior;2019T2;-4,8
Total Nacional;02 Aragón;Situación del trimestre anterior;2019T1;5,8
Total Nacional;02 Aragón;Situación del trimestre anterior;2018T4;2,7
Total Nacional;02 Aragón;Situación del trimestre anterior;2018T3;6,1
Total Nacional;02 Aragón;Situación del trimestre anterior;2018T2;-0,6
Total Nacional;02 Aragón;Situación del trimestre anterior;2018T1;9,2
Total Nacional;02 Aragón;Situación del trimestre anterior;2017T4;-6,4
Total Nacional;02 Aragón;Situación del trimestre anterior;2017T3;4,5
Total Nacional;02 Aragón;Situación del trimestre anterior;2017T2;-8,4
Total Nacional;02 Aragón;Situación del trimestre anterior;2017T1;-3,2
Total Nacional;02 Aragón;Situación del trimestre anterior;2016T4;-10,5
Total Nacional;02 Aragón;Situación del trimestre anterior;2016T3;-14,0
Total Nacional;02 Aragón;Situación del trimestre anterior;2016T2;-7,0
Total Nacional;02 Aragón;Situación del trimestre anterior;2016T1;1,6
Total Nacional;02 Aragón;Situación del trimestre anterior;2015T4;-5,4
Total Nacional;02 Aragón;Situación del trimestre anterior;2015T3;0,0
Total Nacional;02 Aragón;Situación del trimestre anterior;2015T2;-14,9
Total Nacional;02 Aragón;Situación del trimestre anterior;2015T1;-13,6
Total Nacional;02 Aragón;Situación del trimestre anterior;2014T4;-17,4
Total Nacional;02 Aragón;Situación del trimestre anterior;2014T3;-17,7
Total Nacional;02 Aragón;Situación del trimestre anterior;2014T2;-27,6
Total Nacional;02 Aragón;Situación del trimestre anterior;2014T1;-29,3
Total Nacional;02 Aragón;Situación del trimestre anterior;2013T4;-33,7
Total Nacional;02 Aragón;Situación del trimestre anterior;2013T3;-36,4
Total Nacional;02 Aragón;Situación del trimestre anterior;2013T2;-49,5
Total Nacional;02 Aragón;Situación del trimestre anterior;2013T1;-50,4
Total Nacional;02 Aragón;Expectativas del trimestre entrante;2023T4;-2,3
Total Nacional;02 Aragón;Expectativas del trimestre entrante;2023T3;4,6
Total Nacional;02 Aragón;Expectativas del trimestre entrante;2023T2;3,8
Total Nacional;02 Aragón;Expectativas del trimestre entrante;2023T1;-10,6
Total Nacional;02 Aragón;Expectativas del trimestre entrante;2022T4;-12,7
Total Nacional;02 Aragón;Expectativas del trimestre entrante;2022T3;-13,8
Total Nacional;02 Aragón;Expectativas del trimestre entrante;2022T2;-20,5
Total Nacional;02 Aragón;Expectativas del trimestre entrante;2022T1;-5,4
Total Nacional;02 Aragón;Expectativas del trimestre entrante;2021T4;-3,1
Total Nacional;02 Aragón;Expectativas del trimestre entrante;2021T3;-2,0
Total Nacional;02 Aragón;Expectativas del trimestre entrante;2021T2;-19,1
Total Nacional;02 Aragón;Expectativas del trimestre entrante;2021T1;-35,1
Total Nacional;02 Aragón;Expectativas del trimestre entrante;2020T4;-40,0
Total Nacional;02 Aragón;Expectativas del trimestre entrante;2020T3;-48,2
Total Nacional;02 Aragón;Expectativas del trimestre entrante;2020T2;-75,4
Total Nacional;02 Aragón;Expectativas del trimestre entrante;2020T1;-5,1
Total Nacional;02 Aragón;Expectativas del trimestre entrante;2019T4;-4,1
Total Nacional;02 Aragón;Expectativas del trimestre entrante;2019T3;0,7
Total Nacional;02 Aragón;Expectativas del trimestre entrante;2019T2;2,7
Total Nacional;02 Aragón;Expectativas del trimestre entrante;2019T1;-3,7
Total Nacional;02 Aragón;Expectativas del trimestre entrante;2018T4;4,9
Total Nacional;02 Aragón;Expectativas del trimestre entrante;2018T3;1,5
Total Nacional;02 Aragón;Expectativas del trimestre entrante;2018T2;9,1
Total Nacional;02 Aragón;Expectativas del trimestre entrante;2018T1;6,5
Total Nacional;02 Aragón;Expectativas del trimestre entrante;2017T4;4,0
Total Nacional;02 Aragón;Expectativas del trimestre entrante;2017T3;0,9
Total Nacional;02 Aragón;Expectativas del trimestre entrante;2017T2;6,2
Total Nacional;02 Aragón;Expectativas del trimestre entrante;2017T1;-7,8
Total Nacional;02 Aragón;Expectativas del trimestre entrante;2016T4;-8,6
Total Nacional;02 Aragón;Expectativas del trimestre entrante;2016T3;-13,7
Total Nacional;02 Aragón;Expectativas del trimestre entrante;2016T2;-5,4
Total Nacional;02 Aragón;Expectativas del trimestre entrante;2016T1;-9,7
Total Nacional;02 Aragón;Expectativas del trimestre entrante;2015T4;-4,8
Total Nacional;02 Aragón;Expectativas del trimestre entrante;2015T3;-3,4
Total Nacional;02 Aragón;Expectativas del trimestre entrante;2015T2;-8,7
Total Nacional;02 Aragón;Expectativas del trimestre entrante;2015T1;-15,8
