Provincias;Clase de disolución;Periodo;Total
02 Albacete;Otras;2013M08;1
02 Albacete;Otras;2013M07;9
02 Albacete;Otras;2013M06;5
02 Albacete;Otras;2013M05;3
02 Albacete;Otras;2013M04;10
02 Albacete;Otras;2013M03;6
02 Albacete;Otras;2013M02;1
02 Albacete;Otras;2013M01;5
02 Albacete;Otras;2012M12;4
02 Albacete;Otras;2012M11;1
02 Albacete;Otras;2012M10;8
02 Albacete;Otras;2012M09;11
02 Albacete;Otras;2012M08;0
02 Albacete;Otras;2012M07;6
02 Albacete;Otras;2012M06;7
02 Albacete;Otras;2012M05;9
02 Albacete;Otras;2012M04;2
02 Albacete;Otras;2012M03;9
02 Albacete;Otras;2012M02;6
02 Albacete;Otras;2012M01;2
03 Alicante/Alacant;Voluntaria;2022M12;116
03 Alicante/Alacant;Voluntaria;2022M11;96
03 Alicante/Alacant;Voluntaria;2022M10;51
03 Alicante/Alacant;Voluntaria;2022M09;43
03 Alicante/Alacant;Voluntaria;2022M08;52
03 Alicante/Alacant;Voluntaria;2022M07;59
03 Alicante/Alacant;Voluntaria;2022M06;48
03 Alicante/Alacant;Voluntaria;2022M05;61
03 Alicante/Alacant;Voluntaria;2022M04;51
03 Alicante/Alacant;Voluntaria;2022M03;85
03 Alicante/Alacant;Voluntaria;2022M02;66
03 Alicante/Alacant;Voluntaria;2022M01;189
03 Alicante/Alacant;Voluntaria;2021M12;90
03 Alicante/Alacant;Voluntaria;2021M11;88
03 Alicante/Alacant;Voluntaria;2021M10;55
03 Alicante/Alacant;Voluntaria;2021M09;63
03 Alicante/Alacant;Voluntaria;2021M08;62
03 Alicante/Alacant;Voluntaria;2021M07;50
03 Alicante/Alacant;Voluntaria;2021M06;43
03 Alicante/Alacant;Voluntaria;2021M05;61
03 Alicante/Alacant;Voluntaria;2021M04;70
03 Alicante/Alacant;Voluntaria;2021M03;58
03 Alicante/Alacant;Voluntaria;2021M02;88
03 Alicante/Alacant;Voluntaria;2021M01;126
03 Alicante/Alacant;Voluntaria;2020M12;107
03 Alicante/Alacant;Voluntaria;2020M11;59
03 Alicante/Alacant;Voluntaria;2020M10;53
03 Alicante/Alacant;Voluntaria;2020M09;54
03 Alicante/Alacant;Voluntaria;2020M08;40
03 Alicante/Alacant;Voluntaria;2020M07;59
03 Alicante/Alacant;Voluntaria;2020M06;34
03 Alicante/Alacant;Voluntaria;2020M05;19
03 Alicante/Alacant;Voluntaria;2020M04;13
03 Alicante/Alacant;Voluntaria;2020M03;47
03 Alicante/Alacant;Voluntaria;2020M02;57
03 Alicante/Alacant;Voluntaria;2020M01;135
03 Alicante/Alacant;Voluntaria;2019M12;99
03 Alicante/Alacant;Voluntaria;2019M11;54
03 Alicante/Alacant;Voluntaria;2019M10;49
03 Alicante/Alacant;Voluntaria;2019M09;42
03 Alicante/Alacant;Voluntaria;2019M08;41
03 Alicante/Alacant;Voluntaria;2019M07;49
03 Alicante/Alacant;Voluntaria;2019M06;27
03 Alicante/Alacant;Voluntaria;2019M05;56
03 Alicante/Alacant;Voluntaria;2019M04;59
03 Alicante/Alacant;Voluntaria;2019M03;49
03 Alicante/Alacant;Voluntaria;2019M02;71
03 Alicante/Alacant;Voluntaria;2019M01;147
03 Alicante/Alacant;Voluntaria;2018M12;92
03 Alicante/Alacant;Voluntaria;2018M11;55
03 Alicante/Alacant;Voluntaria;2018M10;29
03 Alicante/Alacant;Voluntaria;2018M09;32
03 Alicante/Alacant;Voluntaria;2018M08;42
03 Alicante/Alacant;Voluntaria;2018M07;49
03 Alicante/Alacant;Voluntaria;2018M06;26
03 Alicante/Alacant;Voluntaria;2018M05;39
03 Alicante/Alacant;Voluntaria;2018M04;39
03 Alicante/Alacant;Voluntaria;2018M03;56
03 Alicante/Alacant;Voluntaria;2018M02;60
03 Alicante/Alacant;Voluntaria;2018M01;157
03 Alicante/Alacant;Voluntaria;2017M12;87
