,Comunidad Autónoma,Forma jurídica,Sociedades o Capital desembolsado,Año,Número Sociedades/Capital,Población
1494,11 Extremadura,"S. COM., S. COM. P.A. y S.C.",Número de Sociedades,2000,0.0,1.069.420
1495,11 Extremadura,"S. COM., S. COM. P.A. y S.C.",capital (en miles de euros) desembolsado,2022,0.0,1.056.808
1496,11 Extremadura,"S. COM., S. COM. P.A. y S.C.",capital (en miles de euros) desembolsado,2021,60.0,1.059.501
1497,11 Extremadura,"S. COM., S. COM. P.A. y S.C.",capital (en miles de euros) desembolsado,2020,0.0,1.063.987
1498,11 Extremadura,"S. COM., S. COM. P.A. y S.C.",capital (en miles de euros) desembolsado,2019,29.0,1.067.710
1499,11 Extremadura,"S. COM., S. COM. P.A. y S.C.",capital (en miles de euros) desembolsado,2018,3.0,1.072.863
1500,11 Extremadura,"S. COM., S. COM. P.A. y S.C.",capital (en miles de euros) desembolsado,2017,0.0,1.079.920
1501,11 Extremadura,"S. COM., S. COM. P.A. y S.C.",capital (en miles de euros) desembolsado,2016,3.0,1.087.778
1502,11 Extremadura,"S. COM., S. COM. P.A. y S.C.",capital (en miles de euros) desembolsado,2015,0.0,1.092.997
1503,11 Extremadura,"S. COM., S. COM. P.A. y S.C.",capital (en miles de euros) desembolsado,2014,0.0,1.099.632
1504,11 Extremadura,"S. COM., S. COM. P.A. y S.C.",capital (en miles de euros) desembolsado,2013,120.0,1.104.004
1505,11 Extremadura,"S. COM., S. COM. P.A. y S.C.",capital (en miles de euros) desembolsado,2012,0.0,1.108.130
1506,11 Extremadura,"S. COM., S. COM. P.A. y S.C.",capital (en miles de euros) desembolsado,2011,0.0,1.109.367
1507,11 Extremadura,"S. COM., S. COM. P.A. y S.C.",capital (en miles de euros) desembolsado,2010,0.0,1.107.220
1508,11 Extremadura,"S. COM., S. COM. P.A. y S.C.",capital (en miles de euros) desembolsado,2009,0.0,1.102.410
1509,11 Extremadura,"S. COM., S. COM. P.A. y S.C.",capital (en miles de euros) desembolsado,2008,0.0,1.097.744
1510,11 Extremadura,"S. COM., S. COM. P.A. y S.C.",capital (en miles de euros) desembolsado,2007,0.0,1.089.990
